RowNum,ID,county,Year,Variable,pop,lpop,state,area,nT,nTd,density,Ldensity,Year2,elev,elevS,elevK,elevCV
1,1,17115,1970,pop1970,125010,5.096944755,IL,1.60E-07,0,0,7.83E+11,39.51080765,1970,202.4126881,11.6065163,2.298505264,0.057340854
2,1,17115,1971,pop1971,125300,5.097951071,IL,1.60E-07,0,0,7.85E+11,39.51415055,1971,202.4126881,11.6065163,2.298505264,0.057340854
3,1,17115,1972,pop1972,125200,5.097604329,IL,1.60E-07,0,0,7.85E+11,39.5129987,1972,202.4126881,11.6065163,2.298505264,0.057340854
4,1,17115,1973,pop1973,126900,5.103461622,IL,1.60E-07,0,0,7.95E+11,39.53245621,1973,202.4126881,11.6065163,2.298505264,0.057340854
5,1,17115,1974,pop1974,127800,5.106530854,IL,1.60E-07,1,1,8.01E+11,39.54265198,1974,202.4126881,11.6065163,2.298505264,0.057340854
6,1,17115,1975,pop1975,129200,5.111262514,IL,1.60E-07,1,1,8.10E+11,39.55837021,1975,202.4126881,11.6065163,2.298505264,0.057340854
7,1,17115,1976,pop1976,129700,5.112939976,IL,1.60E-07,1,1,8.13E+11,39.56394262,1976,202.4126881,11.6065163,2.298505264,0.057340854
8,1,17115,1977,pop1977,131400,5.118595365,IL,1.60E-07,0,0,8.23E+11,39.58272942,1977,202.4126881,11.6065163,2.298505264,0.057340854
9,1,17115,1978,pop1978,132400,5.121887985,IL,1.60E-07,1,1,8.30E+11,39.59366726,1978,202.4126881,11.6065163,2.298505264,0.057340854
10,1,17115,1979,pop1979,132400,5.121887985,IL,1.60E-07,0,0,8.30E+11,39.59366726,1979,202.4126881,11.6065163,2.298505264,0.057340854
11,1,17115,1980,pop1980,131375,5.118512729,IL,1.60E-07,0,0,8.23E+11,39.5824549,1980,202.4126881,11.6065163,2.298505264,0.057340854
12,1,17115,1981,pop1981,130295,5.11492775,IL,1.60E-07,0,0,8.16E+11,39.57054586,1981,202.4126881,11.6065163,2.298505264,0.057340854
13,1,17115,1982,pop1982,128485,5.108852429,IL,1.60E-07,0,0,8.05E+11,39.55036408,1982,202.4126881,11.6065163,2.298505264,0.057340854
14,1,17115,1983,pop1983,126932,5.103571123,IL,1.60E-07,0,0,7.95E+11,39.53281996,1983,202.4126881,11.6065163,2.298505264,0.057340854
15,1,17115,1984,pop1984,126033,5.100484274,IL,1.60E-07,1,1,7.90E+11,39.52256567,1984,202.4126881,11.6065163,2.298505264,0.057340854
16,1,17115,1985,pop1985,124970,5.09680577,IL,1.60E-07,0,0,7.83E+11,39.51034595,1985,202.4126881,11.6065163,2.298505264,0.057340854
17,1,17115,1986,pop1986,122775,5.089109943,IL,1.60E-07,0,0,7.69E+11,39.48478096,1986,202.4126881,11.6065163,2.298505264,0.057340854
18,1,17115,1987,pop1987,120527,5.081084347,IL,1.60E-07,0,0,7.55E+11,39.45812051,1987,202.4126881,11.6065163,2.298505264,0.057340854
19,1,17115,1988,pop1988,119024,5.075634541,IL,1.60E-07,0,0,7.46E+11,39.44001665,1988,202.4126881,11.6065163,2.298505264,0.057340854
20,1,17115,1989,pop1989,117723,5.070861321,IL,1.60E-07,0,0,7.38E+11,39.42416035,1989,202.4126881,11.6065163,2.298505264,0.057340854
21,1,17115,1990,pop1990,117212,5.068972076,IL,1.60E-07,0,0,7.34E+11,39.41788442,1990,202.4126881,11.6065163,2.298505264,0.057340854
23,1,17115,1991,pop1991,117698,5.070769083,IL,1.60E-07,0,0,7.38E+11,39.42385395,1991,202.4126881,11.6065163,2.298505264,0.057340854
24,1,17115,1992,pop1992,117779,5.071067863,IL,1.60E-07,0,0,7.38E+11,39.42484647,1992,202.4126881,11.6065163,2.298505264,0.057340854
25,1,17115,1993,pop1993,117206,5.068949845,IL,1.60E-07,0,0,7.34E+11,39.41781057,1993,202.4126881,11.6065163,2.298505264,0.057340854
